Size	Threads	Seq	For	Task	S_For	S_Task
200	1	0.00903522	0.00637708	0.00277368	1.41683	3.25749
200	2	0.00277085	0.00153877	0.00209158	1.8007	1.32477
200	4	0.00250418	0.00132528	0.00174099	1.88955	1.43837
200	8	0.00286361	0.109792	0.00217295	0.0260822	1.31785
500	1	0.0441449	0.0396854	0.0400871	1.11237	1.10122
500	2	0.041867	0.0216399	0.023607	1.93471	1.7735
500	4	0.0419912	0.0135247	0.0159294	3.10478	2.63608
500	8	0.0414119	0.0289309	0.0287543	1.43141	1.4402
800	1	0.171827	0.161531	0.169191	1.06374	1.01558
800	2	0.175138	0.0837051	0.0907321	2.09232	1.93028
800	4	0.169511	0.0463171	0.0555818	3.6598	3.04976
800	8	0.168845	0.0326029	0.0507825	5.17884	3.32486
